page_id,page_namespace,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
42847,0,1942,0,0,0.355212692939,bytearray(b'20231117131043'),bytearray(b'20231117131045'),2939457,458,bytearray(b'wikitext'),
42841,0,1946,0,0,0.374148708325,bytearray(b'20231117150552'),bytearray(b'20231117150554'),2523964,458,bytearray(b'wikitext'),
43271,0,1954,0,0,0.860227485456,bytearray(b'20231119071659'),bytearray(b'20231119071659'),1201705,458,bytearray(b'wikitext'),
42850,0,1963,0,0,0.446888494494,bytearray(b'20231122094512'),bytearray(b'20231122094520'),2023157,458,bytearray(b'wikitext'),
227242,1,19th_century,0,0,0.09374095963,bytearray(b'20210610084241'),bytearray(b'20200515214952'),2795385,876,bytearray(b'wikitext'),
197706,0,19th_century,0,0,0.811680093396,bytearray(b'20231225060022'),bytearray(b'20231225060022'),3428664,10680,bytearray(b'wikitext'),
260132,14,2003,0,0,0.59565443257,bytearray(b'20231201202046'),bytearray(b'20231201202153'),3388794,37,bytearray(b'wikitext'),
38283,0,2003,0,0,0.647836344886,bytearray(b'20231201202048'),bytearray(b'20231201202156'),1986898,469,bytearray(b'wikitext'),
38284,0,2004,0,0,0.366088700052,bytearray(b'20231020220654'),bytearray(b'20231020220710'),1201737,458,bytearray(b'wikitext'),
260134,14,2004,0,0,0.37568850998,bytearray(b'20231208043011'),bytearray(b'20231208043129'),3388795,37,bytearray(b'wikitext'),
257921,14,2005,0,1,0.021974908716,bytearray(b'20231208043020'),bytearray(b'20231208043139'),3294290,37,bytearray(b'wikitext'),
38285,0,2005,0,0,0.252033727677,bytearray(b'20231020221930'),bytearray(b'20231020221943'),2219346,458,bytearray(b'wikitext'),
38465,0,2006,0,0,0.067733667455,bytearray(b'20231021161943'),bytearray(b'20231021161943'),1986897,483,bytearray(b'wikitext'),
260135,14,2006,0,0,0.29205689793,bytearray(b'20231208042932'),bytearray(b'20231208043052'),3388789,37,bytearray(b'wikitext'),
42843,0,2007,0,0,0.956487645264,bytearray(b'20231021162608'),bytearray(b'20231021162609'),1201733,458,bytearray(b'wikitext'),
260136,14,2007,0,0,0.66509147772,bytearray(b'20231208043309'),bytearray(b'20231208043423'),3388790,37,bytearray(b'wikitext'),
260131,14,2023,0,0,0.895144130933,bytearray(b'20231209021210'),bytearray(b'20231208043724'),3388742,37,bytearray(b'wikitext'),
250430,0,2023,0,1,0.732413193955,bytearray(b'20240101025931'),bytearray(b'20240101025946'),3161931,25,bytearray(b'wikitext'),
174372,0,20th_century,0,0,0.567109774117,bytearray(b'20231222213152'),bytearray(b'20231222213152'),3427042,31716,bytearray(b'wikitext'),
216904,14,20th_century,0,0,0.739219839479,bytearray(b'20231029062247'),bytearray(b'20230618135519'),2673625,45,bytearray(b'wikitext'),
67817,2,Ability,0,0,0.545664274826,bytearray(b'20220625100711'),bytearray(b'20220625100749'),1197199,30,bytearray(b'wikitext'),
67818,3,Ability,0,0,0.879638461279,bytearray(b'20230531215421'),bytearray(b'20200917112804'),2858578,2398,bytearray(b'wikitext'),
14091,1,Ability,0,0,0.452142432806,bytearray(b'20230815000323'),bytearray(b'20230607201656'),2292795,5323,bytearray(b'wikitext'),
126282,0,Ability,0,0,0.362579074688,bytearray(b'20231201083532'),bytearray(b'20231201083600'),3346084,15290,bytearray(b'wikitext'),
1639,0,Abortion,0,0,0.417169175305,bytearray(b'20231228205305'),bytearray(b'20231228205342'),3430950,734425,bytearray(b'wikitext'),
241094,14,Abortion,0,0,0.107578823668,bytearray(b'20231117215610'),bytearray(b'20231112100727'),3357402,71,bytearray(b'wikitext'),
50537,1,Abortion,0,0,0.00873965564,bytearray(b'20220701100911'),bytearray(b'20220701100911'),3136270,7552,bytearray(b'wikitext'),
596,1,Abraham_Lincoln,0,0,0.392019819651,bytearray(b'20230813211016'),bytearray(b'20230813211016'),3345151,64820,bytearray(b'wikitext'),
204387,14,Abraham_Lincoln,0,0,0.234365175565,bytearray(b'20230920144636'),bytearray(b'20230920144636'),3366586,594,bytearray(b'wikitext'),
126486,0,Abraham_Lincoln,0,0,0.312993268812,bytearray(b'20231228220016'),bytearray(b'20231228220043'),3426706,551189,bytearray(b'wikitext'),
231641,1,Abu_Hamid_al-Ghazali,0,0,0.393302803295,bytearray(b'20210207002821'),bytearray(b'20200925140749'),2864401,182,bytearray(b'wikitext'),
211994,0,Abu_Hamid_al-Ghazali,0,0,0.915274242216,bytearray(b'20231210110909'),bytearray(b'20231210111003'),3287860,10554,bytearray(b'wikitext'),
126285,0,Action,0,0,0.475584280249,bytearray(b'20231017085120'),bytearray(b'20231017085120'),3381818,36536,bytearray(b'wikitext'),
142085,0,Actions,1,1,0.134978718281,bytearray(b'20231017085121'),bytearray(b'20230226183420'),1537436,20,bytearray(b'wikitext'),
155664,2,Activist,0,1,0.157529110649,bytearray(b'20230306101800'),bytearray(b'20230306101800'),1731662,22,bytearray(b'wikitext'),
155665,3,Activist,0,0,0.723739848086,bytearray(b'20230520181243'),bytearray(b'20230520181243'),1866396,1460,bytearray(b'wikitext'),
185702,0,Activist,1,1,0.288735254225,bytearray(b'20231227165549'),bytearray(b'20230519022359'),2097197,22,bytearray(b'wikitext'),
5146,1,Adam_Smith,0,0,0.714631318974,bytearray(b'20220903033707'),bytearray(b'20220903005902'),3156013,3831,bytearray(b'wikitext'),
3233,0,Adam_Smith,0,0,0.329083626777,bytearray(b'20231219111203'),bytearray(b'20231219111304'),3351170,121456,bytearray(b'wikitext'),
141,0,Adolf_Hitler,0,0,0.612770591217,bytearray(b'20231228220027'),bytearray(b'20231228220054'),3426858,314661,bytearray(b'wikitext'),
2338,1,Adolf_Hitler,0,0,0.59101211214,bytearray(b'20230725201838'),bytearray(b'20230725201838'),3336441,109116,bytearray(b'wikitext'),
204470,14,Adolf_Hitler,0,0,0.865603419439,bytearray(b'20230206141058'),bytearray(b'20230206154112'),2927009,215,bytearray(b'wikitext'),
69781,0,Afghanistan,0,0,0.020064697713,bytearray(b'20231230201835'),bytearray(b'20231230201835'),3433728,59202,bytearray(b'wikitext'),
198767,14,Afghanistan,0,0,0.227130260056,bytearray(b'20231208075343'),bytearray(b'20231208075624'),3058893,246,bytearray(b'wikitext'),
232300,1,Afghanistan,0,1,0.213071814707,bytearray(b'20210103222626'),bytearray(b'20210103225218'),2873772,515,bytearray(b'wikitext'),
144584,0,Africa,0,0,0.750608952942,bytearray(b'20240101042517'),bytearray(b'20240101042517'),3434517,47880,bytearray(b'wikitext'),
242928,1,Africa,0,0,0.560946400757,bytearray(b'20211207174751'),bytearray(b'20211208000358'),3043067,1610,bytearray(b'wikitext'),
69889,14,Africa,0,0,0.477841293721,bytearray(b'20231227135156'),bytearray(b'20231208075520'),2686934,147,bytearray(b'wikitext'),
